"","x_mean","y_mean","z_mean","x_variance","y_variance","z_variance","x_sd","y_sd","z_sd","x_max","y_max","z_max","x_min","y_min","z_min","x_range","y_range","z_range","ODBA"
"1352",0.6228208243575,5.16700893704,-8.43461054181,0.12182348276389,1.06233127434563,0.378539059626308,0.349032208777199,1.03069455919086,0.615255280047484,1.5969764727,7.9999532899,-6.8935127414,-0.4562789922,2.882664733,-9.8983772698,2.0532554649,5.1172885569,3.0048645284,1.16033824608
"1353",0.85951555156,3.710034203795,-8.8135327966675,1.94304177761232,3.65490230577963,1.73350273469156,1.39393033456207,1.91177987900794,1.31662551042108,5.2472084103,8.2457619106,-6.2748641621,-2.4182786587,1.117311912,-12.4392553636,7.665487069,7.1284499986,6.1643912015,3.90623480764424
"1354",-1.53542901587,-0.215573627995,-9.73579709526,0.391000736366856,4.90844821562749,0.718056803426521,0.625300516845185,2.21550179770351,0.84738232423536,0.0905190282,4.6138355703,-8.0531475637,-3.14553623,-4.0763013291,-11.8942152363,3.2360552582,8.6901368994,3.8410676726,2.32779795361697
"1355",-2.0207724256375,4.095510230755,-8.6419117320525,0.663194973999491,3.54481796023898,1.39304497440237,0.81436783703649,1.88276869536302,1.18027326259743,-0.3735050963,7.3629605109,-6.7115399098,-4.7237409243,0.1747883801,-12.1579652678,4.350235828,7.1881721308,5.446425358,2.45436505449333
"1356",-1.9565075781775,4.1108042140175,-8.73625925793,0.681475515493188,3.80622955611738,2.38612128249406,0.825515303003638,1.95095606206736,1.54470750710096,-0.021970888,8.2369024113,-6.432785856,-4.5479738201,1.070578828,-13.5946207757,4.5260029321,7.1663235833,7.1618349197,3.12774550156333
"1357",-2.639252923395,0.4320550270075,-9.227295244945,0.219506053539776,3.99560492065032,0.370973858115381,0.468514731401027,1.99890092817286,0.609076233418594,-1.1864279531,3.8016472667,-7.8479987443,-3.8668762915,-3.255433579,-11.0643916723,2.6804483384,7.0570808457,3.216392928,1.50783268881485
"1358",-2.3382517575275,3.2510638694925,-8.8568739927325,2.2801185702928,4.0987319126577,2.01751591138468,1.51000614909105,2.02453251706602,1.42039287219582,0.8129228567,7.9310227461,-6.9045234854,-7.7996652471,0.4151224027,-13.4016372,8.6125881038,7.5159003434,6.4971137146,3.79335455121273
"1359",-2.054827302065,3.3542982564775,-8.6874772985275,2.22172431286307,6.29391728224339,2.80432989252333,1.49054497176807,2.50876808060119,1.67461335612831,2.0432925859,8.3024480538,-6.4971137146,-6.2617030857,-1.4420041357,-13.5088502976,8.3049956716,9.7444521895,7.011736583,4.56942359477758
"1360",-2.1751179139825,3.6055565528425,-8.795226461615,0.939224435854903,5.73948313081253,3.05806894846423,0.969135922280721,2.39572183919848,1.74873352700296,0.4833595364,9.1545414067,-6.925966105,-5.470751117,-0.2621825701,-14.3236698394,5.9541106534,9.4167239768,7.3977037344,4.03785057637152
"1361",-1.938930867765,4.53739710415,-8.3454675171925,0.63272822999998,2.97434791148423,1.04878821576516,0.79544216005941,1.72462978968944,1.02410361573679,-0.4613886484,7.2755663208,-6.6900972902,-4.7457118123,1.4857012307,-11.4289162042,4.2843231639,5.7898650901,4.738818914,1.8404617567097
