"","x_freqmain","y_freqmain","z_freqmain","x_freqamp","y_freqamp","z_freqamp","x_entropy","y_entropy","z_entropy"
"25",3.162,3.162,3.162,51.4200917545749,62.9627022781438,232.855780888124,0.377528199395379,0.309392593195714,0.237216135288382
"26",2.8985,3.4255,3.4255,49.8365780083518,54.7504880803966,166.081389094043,0.393147137843327,0.373429585588911,0.333316933086442
"27",3.4255,3.162,3.162,81.7224329829713,38.979631982804,140.970819040759,0.373839948745796,0.346843640595736,0.282742263745043
"28",3.4255,3.4255,3.4255,83.7310250569095,59.7733185468304,190.230634621489,0.37532497405205,0.350055555986979,0.347570963304114
"29",3.162,0.527,0.527,20.342553830186,16.7156389964048,47.1889017869001,0.383341425187327,0.404219380461375,0.37483533931116
"30",3.162,3.162,3.162,35.3610716040467,32.6953030043313,96.4810913827511,0.368723508543677,0.384764584777399,0.365380775639335
"31",1.581,4.743,3.4255,38.0182645088412,48.2787814866907,159.196788634953,0.385440222426485,0.373632524875635,0.334659231236609
"32",2.8985,3.162,3.162,33.1226453764017,24.4749709347969,81.8940635249491,0.375733164147623,0.372534396964123,0.367085360109414
"33",3.162,3.4255,3.4255,44.8850229095689,54.0174971699105,158.091919197263,0.397501924641922,0.371080639018286,0.349697028303575
"34",2.3715,2.8985,2.8985,28.7532278257099,16.315683791596,71.9394593581167,0.41255022461876,0.394296631004699,0.368696025726598
"35",3.162,4.743,3.4255,43.1734140175888,50.5056808241985,118.851124874251,0.386866063548717,0.351736406675842,0.337963327242064
"36",3.162,3.162,3.162,34.2431217435784,41.6585730967625,153.582506818733,0.394069687733896,0.369292994128701,0.35106374874789
"37",3.162,3.162,3.162,52.8580331433253,65.256640260539,150.94815265303,0.37525257481111,0.355491808190361,0.328149302303603
"38",3.162,3.162,3.162,49.5983178079273,71.5562035330024,220.209527361507,0.368658311142312,0.337385391715887,0.318259336722105
"39",3.4255,3.4255,3.162,69.3292344137181,45.7981500905762,164.215706707168,0.380042462536032,0.366939144143505,0.315747375841243
"40",3.689,3.4255,3.4255,50.2904313991179,80.0930210842785,152.521841281776,0.381409355474557,0.405430473582178,0.382286861098529
"41",3.689,3.689,3.4255,59.7020844816454,73.7683294521909,201.603478391712,0.389101019612409,0.37191815417863,0.362863467235264
"42",4.216,3.4255,3.4255,27.2299141042354,30.3093747134074,104.441558806953,0.363873746232728,0.360298003403073,0.334079267256763
"43",1.581,3.162,3.162,17.6995147148933,21.9264760355624,82.1582291729418,0.39500269366547,0.379347728260426,0.377473563232115
"44",2.3715,4.4795,3.162,43.5567332731533,38.1002976132861,146.38561454899,0.396129351282384,0.392121424797662,0.324040873327068
"45",3.4255,3.689,3.4255,34.6385015726946,45.482092523412,142.999468101749,0.350470397614994,0.367833208755583,0.338440292615494
